driver,spread_tip_pct
Party size,0.07579652583585789
Day of week,0.01676131234570072
Sex (use carefully),0.008840189324627351
Time (Lunch vs Dinner),0.004610139382727585
Smoker vs Non-Smoker,0.003867582457662666
